track_name,artist_names,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration
All of Me,John Legend,0.42200000000000004,0.264,8.0,1.0,-7.064,0.0322,0.922,0.0,0.132,0.331,119.93,269560.0
Aloha,"Maluma, Beéle, Rauw Alejandro, Mambo Kingz, DJ Luian, Darell",0.807,0.7120000000000001,1.0,1.0,-5.7570000000000014,0.1,0.532,2.37e-05,0.163,0.792,100.00399999999999,241659.0
Alone,Doja Cat,0.691,0.6559999999999999,8.0,0.0,-5.864,0.172,0.5429999999999999,1.22e-05,0.095,0.746,169.97299999999996,228867.0
Already Dead,Juice WRLD,0.7440000000000001,0.495,1.0,1.0,-6.311,0.0634,0.0216,0.0,0.111,0.128,83.51,231221.0
Already Won (feat. Lil Durk),"Rod Wave, Lil Durk",0.321,0.525,7.0,0.0,-9.891,0.131,0.0668,0.0,0.13699999999999998,0.152,75.774,212064.0
Alright,Kendrick Lamar,0.7959999999999999,0.7659999999999999,7.0,1.0,-5.974,0.23800000000000002,0.0742,0.0,0.0827,0.5579999999999999,110.03399999999999,219333.0
Always Been You,Jessie Murph,0.655,0.5720000000000001,3.0,0.0,-7.666,0.0535,0.6459999999999999,1.81e-06,0.0774,0.40299999999999997,137.12,131825.0
Amapolas,Leo Rizzi,0.784,0.6890000000000001,4.0,0.0,-8.216000000000001,0.0385,0.759,0.00536,0.14300000000000002,0.332,124.025,205716.0
Amargo Adiós,Inspector,0.607,0.6659999999999999,2.0,0.0,-4.187,0.0407,0.168,0.0,0.201,0.79,139.542,228427.0
Ambition For Cash,Key Glock,0.841,0.732,7.0,0.0,-5.186,0.19,0.0115,2.18e-05,0.136,0.5760000000000001,149.012,143480.0
Amnesia,La Santa Grifa,0.818,0.638,11.0,0.0,-6.926,0.225,0.00673,0.0,0.495,0.7829999999999999,112.75299999999999,188604.0
Amnesia (feat. GASHI),"Loud Luxury, Ship Wrek, GASHI",0.745,0.8390000000000001,11.0,0.0,-6.654,0.0489,0.0454,3.09e-05,0.0882,0.226,124.021,193548.0
